,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8,Sean Bird,PG,8,0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
9,TEAM TOTALS,,,36,90.0,4.0,18.0,16.0,19.0,45.0,23.0,13.0,10.0,19.0,2.0,92.0
10,PERCENTAGES,FG: 40.0%,3PT: 22.2%,FT: 84.2%,,,,,,,,,,,,
0,Stan Haynes,C,31,5,14.0,0.0,0.0,7.0,8.0,13.0,2.0,0.0,2.0,0.0,0.0,17.0
1,Devon Hall,PG,38,5,13.0,0.0,3.0,6.0,10.0,7.0,7.0,0.0,0.0,2.0,0.0,16.0
2,Herb Jones,SF,33,5,11.0,2.0,4.0,2.0,4.0,11.0,2.0,1.0,1.0,1.0,1.0,14.0
3,Kevaughn Allen,SF,24,5,7.0,3.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,13.0
4,George Kok,C,24,5,14.0,0.0,0.0,2.0,2.0,10.0,0.0,4.0,0.0,1.0,0.0,12.0
5,Kendall Stephens,SG,30,2,10.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,10.0
6,Dan Otten,PF,28,3,9.0,0.0,0.0,3.0,3.0,14.0,1.0,4.0,0.0,3.0,1.0,9.0
7,Jaylen Adams,PG,10,2,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0
8,Quinndary Weatherspoon,PF,13,1,5.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0
9,Jalek Felton,SG,8,0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
10,TEAM TOTALS,,,33,90.0,7.0,15.0,25.0,33.0,64.0,17.0,14.0,6.0,12.0,2.0,98.0
0,Dwight McGhee,PF,31,8,18.0,1.0,2.0,8.0,9.0,7.0,3.0,3.0,1.0,0.0,0.0,25.0
1,Elle Okobo,PG,34,8,18.0,1.0,3.0,2.0,2.0,3.0,7.0,1.0,2.0,4.0,0.0,19.0
2,Bob Davies,SG,29,4,10.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,8.0
3,Oscar Schmidt,SG,28,3,7.0,0.0,2.0,2.0,2.0,4.0,1.0,3.0,0.0,1.0,0.0,8.0
4,Gary Clark,PF,25,3,5.0,0.0,0.0,0.0,1.0,7.0,1.0,3.0,0.0,3.0,0.0,6.0
5,Kenny Gattison,C,17,3,10.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,6.0
6,Fred Scolari,PG,5,2,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0
7,Robert Williams,C,34,1,8.0,0.0,0.0,2.0,4.0,15.0,2.0,3.0,0.0,1.0,3.0,4.0
8,Bonzi Wells,SF,21,1,5.0,0.0,0.0,2.0,4.0,5.0,0.0,2.0,0.0,1.0,0.0,4.0
9,Glenn Jacobs,SF,16,2,6.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,0.0,0.0,4.0
10,TEAM TOTALS,,,35,90.0,3.0,8.0,16.0,22.0,54.0,19.0,21.0,5.0,12.0,3.0,89.0
11,PERCENTAGES,FG: 38.9%,3PT: 37.5%,FT: 72.7%,,,,,,,,,,,,
0,Neon Boudeaux,C,36,15,19.0,0.0,0.0,17.0,18.0,15.0,1.0,2.0,0.0,2.0,1.0,47.0
1,Killian Tillie,SF,25,11,18.0,3.0,5.0,5.0,7.0,7.0,1.0,4.0,1.0,1.0,1.0,30.0
2,Terance Mann,SG,31,4,9.0,0.0,0.0,3.0,4.0,5.0,6.0,3.0,3.0,2.0,0.0,11.0
3,Al Harrington*,PF,20,4,12.0,0.0,1.0,3.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,11.0
4,Austin Luke,PG,32,3,10.0,1.0,3.0,0.0,0.0,3.0,9.0,1.0,0.0,2.0,0.0,7.0
5,Michael Young,SF,27,3,6.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,6.0
6,John Stockston,PG,8,2,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,4.0
7,Kayson Williams,SG,22,1,6.0,0.0,4.0,1.0,2.0,3.0,8.0,0.0,0.0,2.0,0.0,3.0
8,Christ Koumadje,PF,28,0,3.0,0.0,0.0,2.0,4.0,6.0,0.0,4.0,0.0,1.0,2.0,2.0
9,Anas Mahmoud,C,12,1,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0
10,TEAM TOTALS,,,44,87.0,4.0,13.0,31.0,39.0,51.0,31.0,21.0,5.0,13.0,4.0,123.0
0,Elvis Delle Donne,SF,41,13,28.0,0.0,3.0,12.0,15.0,12.0,0.0,3.0,2.0,4.0,0.0,38.0
1,Khyri Thomas,SG,30,9,18.0,2.0,2.0,6.0,6.0,7.0,0.0,4.0,0.0,1.0,0.0,26.0
2,Dillon Chambers,PG,35,7,18.0,3.0,5.0,2.0,2.0,5.0,7.0,0.0,2.0,2.0,1.0,19.0
3,Milt Wagner,SG,18,5,10.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0
4,Tryggvi Hlinason,C,34,3,8.0,0.0,0.0,2.0,4.0,10.0,0.0,5.0,4.0,0.0,0.0,8.0
5,Dolph Schayes,PF,4,2,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
6,George Hauptfuhrer,PF,40,1,3.0,0.0,0.0,1.0,2.0,12.0,2.0,5.0,1.0,0.0,1.0,3.0
